Timestamp,,Age ,Gender,District,Profession / Occupation,Average Monthly Household income (in LKR),Type of Premises,Average Monthly Electricity Bill (in LKR),Average Monthly Electricity Usage (in Units),Which time period do you use electricity the most?,Which devices consume the most electricity at your premises?,Have you installed a solar power system at your premises?,In which year did you install the solar panel system?,What were your main reasons for switching to solar power?,What was your initial investment for the solar power system? (in LKR),"On a scale of 1 to 5, how satisfied are you with your solar power system?",How did your monthly electricity bill change after switching to solar?,Would you recommend solar power to others?,What are your main reasons for not switching to solar power yet?,Are you considering switching to solar power system in the future?,What would encourage you to switch to solar power system ?,Any other comments or suggestions about solar energy in Sri Lanka?
2025/09/03 8:46:28 PM GMT+5:30,,51+,Male,Colombo,Sales Manager,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,Maybe in 2–3 years,Lower product prices;Better guarantees/warranties,
2025/09/03 8:53:17 PM GMT+5:30,,26-35,Male,Colombo,Businessman ,"150,000-250,000",Household,"2,001 - 5,000",61 - 90,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;TVs,No,,,,,,,Not a priority,No plans currently,Recommendations from others,
2025/09/03 8:54:43 PM GMT+5:30,,36-50,Female,Colombo,Teacher ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost,No plans currently,Recommendations from others,
2025/09/03 8:56:25 PM GMT+5:30,,26-35,Male,Gampaha,Beautician ,"150,000-250,000",Business,"2,001 - 5,000",61 - 90,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM),Air Condittioner;TVs,No,,,,,,,No space for solar panels,No plans currently,Recommendations from others,
2025/09/03 8:58:05 PM GMT+5:30,,26-35,Male,Colombo,Teacher ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,Maybe in 2–3 years,More awareness campaigns,
2025/09/03 9:01:22 PM GMT+5:30,,51+,Male,Gampaha,Businessman ,"Less than 150,000",Business,"Less than 2,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM),Air Condittioner,No,,,,,,,High installation cost,No plans currently,Recommendations from others,
2025/09/03 9:06:12 PM GMT+5:30,,51+,Male,Colombo,Electrician ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,No space for solar panels,No plans currently,Recommendations from others,
2025/09/03 9:07:41 PM GMT+5:30,,36-50,Female,Gampaha,Accountant ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Desktop Computers,No,,,,,,,Not a priority,Maybe in 2–3 years,Better guarantees/warranties,
2025/09/03 9:10:41 PM GMT+5:30,,26-35,Female,Gampaha,Tutor,"150,000-250,000",Household,"Less than 2,000",30 - 60,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,Lack of knowledge,No plans currently,Recommendations from others,
2025/09/03 9:12:31 PM GMT+5:30,,51+,Male,Gampaha,Doctor ,"250,000-350,000",Both,"5,001 - 10,000",121 - 180,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,Not a priority,Maybe in 2–3 years,Better guarantees/warranties,
2025/09/03 9:13:53 PM GMT+5:30,,26-35,Male,Colombo,Doctor ,"250,000-350,000",Business,"Less than 2,000",30 - 60,Night (7 PM -11 PM),Air Condittioner,No,,,,,,,Not a priority,No plans currently,Government subsidies,
2025/09/03 9:15:48 PM GMT+5:30,,51+,Male,Gampaha,Driver,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Refrigerator;Water Heater;Wachine Machine;TVs,No,,,,,,,High installation cost,No plans currently,Better guarantees/warranties,
2025/09/03 9:17:19 PM GMT+5:30,,51+,Male,Colombo,Carpenter ,"Less than 150,000",Household,"2,001 - 5,000",61 - 90,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost,No plans currently,Recommendations from others,
2025/09/03 9:19:06 PM GMT+5:30,,51+,Male,Colombo,HR manager ,"250,000-350,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,Lack of knowledge,Maybe in 2–3 years,Recommendations from others,
2025/09/03 9:20:20 PM GMT+5:30,,51+,Male,Colombo,Driver,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Refrigerator;Water Heater;TVs,No,,,,,,,Lack of knowledge,No plans currently,Recommendations from others,
2025/09/03 9:21:38 PM GMT+5:30,,51+,Male,Gampaha,Chef,"150,000-250,000",Household,"2,001 - 5,000",121 - 180,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven,No,,,,,,,High installation cost,No plans currently,Recommendations from others,
2025/09/03 9:22:49 PM GMT+5:30,,18-25,Male,Gampaha,Manager ,"150,000-250,000",Household,"2,001 - 5,000",121 - 180,Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,No plans currently,More awareness campaigns,
2025/09/04 9:29:55 AM GMT+5:30,,51+,Male,Gampaha,Accountant,"150,000-250,000",Household,"5,001 - 10,000",91 -120,Night (7 PM -11 PM),Refrigerator;Wachine Machine;Microwave / Oven,No,,,,,,,High installation cost;Lack of knowledge,No plans currently,Lower product prices,
2025/09/04 9:32:10 AM GMT+5:30,,36-50,Male,Colombo,Internal Auditor HNB ,"250,000-350,000",Household,"5,001 - 10,000",91 -120,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine,No,,,,,,,Uncertainty about performance,Maybe in 2–3 years,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 9:33:09 AM GMT+5:30,,26-35,Female,Colombo,Doctor,"250,000-350,000",Household,"5,001 - 10,000",91 -120,Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine,No,,,,,,,Not a priority,Maybe in 2–3 years,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 9:34:38 AM GMT+5:30,,51+,Male,Gampaha,Businessman,"More than 350,000",Both,"More than 10,000",More than 180,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater,No,,,,,,,Lack of knowledge,"Yes, within the next year",Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 9:36:01 AM GMT+5:30,,18-25,Male,Gampaha,Actor,"More than 350,000",Household,"More than 10,000",121 - 180,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Water Heater;Desktop Computers,No,,,,,,,Not a priority,"Yes, within the next year",Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 9:37:40 AM GMT+5:30,,26-35,Female,Colombo,Freelancer,"150,000-250,000",Household,"5,001 - 10,000",61 - 90,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Microwave / Oven,No,,,,,,,Not a priority,No plans currently,Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 9:39:20 AM GMT+5:30,,26-35,Male,Colombo,Engineer ,"150,000-250,000",Household,"5,001 - 10,000",61 - 90,Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers,Yes,2022,To reduce electricity costs;Power cuts and reliability,"200,000 - 500,000",4,Decreased significantly,Yes,,,,
2025/09/04 9:40:31 AM GMT+5:30,,26-35,Female,Colombo,Freelancer ,"150,000-250,000",Household,"5,001 - 10,000",61 - 90,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Microwave / Oven,No,,,,,,,Not a priority,No plans currently,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 9:41:42 AM GMT+5:30,,36-50,Female,Gampaha,Banker,"250,000-350,000",Household,"More than 10,000",121 - 180,Night (7 PM -11 PM),Refrigerator;Wachine Machine,No,,,,,,,High installation cost;Lack of knowledge,No plans currently,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 9:43:34 AM GMT+5:30,,36-50,Male,Colombo,Businessman ,"More than 350,000",Business,"More than 10,000",More than 180,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Desktop Computers;,Yes,Before 2022,To reduce electricity costs;Long-term investment,"More than 500,000",5,Decreased slightly,Yes,,,,
2025/09/04 9:46:58 AM GMT+5:30,,36-50,Female,Colombo,Doctor,"More than 350,000",Both,"More than 10,000",121 - 180,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine,No,,,,,,,Not a priority,Maybe in 2–3 years,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 9:59:27 AM GMT+5:30,,26-35,Male,Colombo,Engineer,"150,000-250,000",Household,"5,001 - 10,000",61 - 90,Night (7 PM -11 PM),Refrigerator;Microwave / Oven,No,,,,,,,High installation cost,Maybe in 2–3 years,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/09/04 10:00:41 AM GMT+5:30,,36-50,Male,Gampaha,Mechanic,"Less than 150,000",Both,"More than 10,000",121 - 180,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Refrigerator;,No,,,,,,,High installation cost;Lack of knowledge,No plans currently,Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 10:01:45 AM GMT+5:30,,18-25,Male,Colombo,Business Analyst ,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Night (7 PM -11 PM),Air Condittioner;Desktop Computers,No,,,,,,,No space for solar panels;Not a priority,No plans currently,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 10:03:25 AM GMT+5:30,,18-25,Female,Gampaha,Assistant Manager ,"150,000-250,000",Household,"5,001 - 10,000",61 - 90,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven,No,,,,,,,No space for solar panels;Not a priority,No plans currently,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 5:17:15 PM GMT+5:30,,51+,Female,Colombo,Buisness,"150,000-250,000",Household,"Less than 2,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers,No,,,,,,,High installation cost;Lack of knowledge;Not a priority,Maybe in 2–3 years,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 5:18:59 PM GMT+5:30,,36-50,Male,Colombo,Teacher,"150,000-250,000",Household,"Less than 2,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Lack of knowledge;Uncertainty about performance;Not a priority,No plans currently,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 5:22:24 PM GMT+5:30,,36-50,Male,Gampaha,Bank manager,"150,000-250,000",Household,"5,001 - 10,000",30 - 60,Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Not a priority,"Yes, within the next year",Government subsidies;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 5:28:24 PM GMT+5:30,,51+,Male,Colombo,Buisness ,"250,000-350,000",Business,"More than 10,000",91 -120,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Desktop Computers,No,,,,,,,Lack of knowledge,"Yes, within the next year",Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 5:29:44 PM GMT+5:30,,51+,Male,Colombo,Electrician,"Less than 150,000",Household,"Less than 2,000",Less than 30,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;TVs,No,,,,,,,High installation cost,No plans currently,Lower product prices,
2025/09/04 5:32:58 PM GMT+5:30,,36-50,Female,Gampaha,None,"Less than 150,000",Household,"Less than 2,000",Less than 30,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Desktop Computers;TVs,No,,,,,,,High installation cost,No plans currently,Government subsidies;Lower product prices,
2025/09/04 5:35:19 PM GMT+5:30,,51+,Male,Colombo,Buisness,"150,000-250,000",Both,"5,001 - 10,000",61 - 90,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Refrigerator;Wachine Machine;Desktop Computers;TVs;Sewing machines,No,,,,,,,High installation cost,Maybe in 2–3 years,Lower product prices,
2025/09/04 5:39:37 PM GMT+5:30,,51+,Male,Gampaha,Driver,"Less than 150,000",Household,"Less than 2,000",Less than 30,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;TVs,No,,,,,,,High installation cost,No plans currently,Lower product prices,
2025/09/04 5:41:53 PM GMT+5:30,,36-50,Male,Colombo,Asst. Manager,"150,000-250,000",Household,"2,001 - 5,000",30 - 60,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost,"Yes, within the next year",Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 5:44:42 PM GMT+5:30,,26-35,Female,Colombo,Teacher,"Less than 150,000",Household,"Less than 2,000",Less than 30,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,No plans currently,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/09/04 10:23:33 PM GMT+5:30,,51+,Male,Gampaha,Teacher ,"Less than 150,000",Household,"5,001 - 10,000",61 - 90,Night (7 PM -11 PM),Refrigerator;Wachine Machine,No,,,,,,,High installation cost,No plans currently,Lower product prices;Better guarantees/warranties,
2025/09/04 10:24:32 PM GMT+5:30,,36-50,Male,Colombo,Driver,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost,No plans currently,Lower product prices;Better guarantees/warranties,
2025/09/04 10:25:41 PM GMT+5:30,,26-35,Male,Colombo,Software Engineer ,"150,000-250,000",Household,"5,001 - 10,000",61 - 90,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Desktop Computers,No,,,,,,,Not a priority,No plans currently,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 10:27:26 PM GMT+5:30,,26-35,Female,Gampaha,Banker,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Night (7 PM -11 PM),Water Heater;Wachine Machine,No,,,,,,,Not a priority,No plans currently,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/04 10:28:27 PM GMT+5:30,,26-35,Female,Colombo,Data Analyst,"Less than 150,000",Household,"5,001 - 10,000",61 - 90,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Water Heater;Desktop Computers,No,,,,,,,High installation cost;Not a priority,No plans currently,Lower product prices;Better guarantees/warranties,
2025/09/04 10:29:30 PM GMT+5:30,,36-50,Female,Gampaha,Banker,"250,000-350,000",Household,"More than 10,000",121 - 180,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven,No,,,,,,,Not a priority,"Yes, within the next year",Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 10:30:20 PM GMT+5:30,,36-50,Male,Colombo,Banker,"150,000-250,000",Household,"More than 10,000",121 - 180,Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven,No,,,,,,,High installation cost,"Yes, within the next year",Lower product prices;More awareness campaigns;Better guarantees/warranties,
2025/09/04 10:31:15 PM GMT+5:30,,26-35,Female,Gampaha,Doctor,"250,000-350,000",Household,"More than 10,000",121 - 180,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost,Maybe in 2–3 years,Government subsidies;Lower product prices;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/05 11:22:28 AM GMT+5:30,,18-25,Male,Colombo,Software engineer ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,Maybe in 2–3 years,Government subsidies;Better guarantees/warranties;Recommendations from others,
2025/09/05 11:24:29 AM GMT+5:30,,51+,Female,Colombo,Office clerk ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Water Heater;Wachine Machine;Microwave / Oven;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,Government subsidies;Better guarantees/warranties,
2025/09/05 11:26:35 AM GMT+5:30,,51+,Male,Gampaha,Businessman,"Less than 150,000",Both,"5,001 - 10,000",121 - 180,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;TVs,No,,,,,,,High installation cost;Uncertainty about performance,Maybe in 2–3 years,Government subsidies;Better guarantees/warranties;Recommendations from others,
2025/09/05 11:28:21 AM GMT+5:30,,36-50,Female,Gampaha,Nurse ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Wachine Machine;TVs,No,,,,,,,High installation cost;No space for solar panels;Not a priority,No plans currently,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/09/05 11:30:06 AM GMT+5:30,,36-50,Male,Colombo,Doctor ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,No space for solar panels;Not a priority,"Yes, within the next year",Government subsidies;Lower product prices,
2025/09/05 11:32:06 AM GMT+5:30,,26-35,Male,Gampaha,Office clerk ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;TVs,No,,,,,,,High installation cost;Lack of knowledge,"Yes, within the next year",Government subsidies;Better guarantees/warranties,
2025/09/05 11:44:07 AM GMT+5:30,,26-35,Male,Colombo,Teacher ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),TVs,No,,,,,,,High installation cost,Maybe in 2–3 years,Lower product prices;Better guarantees/warranties;Recommendations from others,
2025/09/05 11:46:41 AM GMT+5:30,,18-25,Male,Colombo,Driver,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Wachine Machine;TVs,No,,,,,,,High installation cost;No space for solar panels,Maybe in 2–3 years,More awareness campaigns;Better guarantees/warranties,
2025/09/05 11:48:23 AM GMT+5:30,,36-50,Male,Colombo,Software engineer ,"150,000-250,000",Household,"5,001 - 10,000",121 - 180,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Desktop Computers;TVs,No,,,,,,,High installation cost;No space for solar panels;Not a priority,Maybe in 2–3 years,More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/05 12:16:08 PM GMT+5:30,,18-25,Female,Colombo,Student ,"Less than 150,000",Household,"Less than 2,000",30 - 60,Evening (3 PM - 7 PM),Refrigerator;Water Heater;Wachine Machine;Microwave / Oven,No,,,,,,,High installation cost,Maybe in 2–3 years,Recommendations from others,
2025/09/05 9:19:19 PM GMT+5:30,,51+,Female,Colombo,Housewife,"150,000-250,000",Household,"5,001 - 10,000",More than 180,Daytime (9 AM - 3 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,Maybe in 2–3 years,Government subsidies;Lower product prices,Solar power consumption should be improved within in 5 years
2025/09/11 12:09:49 PM GMT+5:30,,18-25,Male,Colombo,Electrician ,"Less than 150,000",Both,"5,001 - 10,000",121 - 180,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,Government subsidies;Lower product prices,
2025/09/11 12:11:10 PM GMT+5:30,,36-50,Female,Gampaha,None,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM),Air Condittioner;Water Heater;Wachine Machine,No,,,,,,,High installation cost;Lack of knowledge;Uncertainty about performance,"Yes, within the next year",More awareness campaigns;Better guarantees/warranties,
2025/09/11 12:12:11 PM GMT+5:30,,36-50,Male,Colombo,Chef,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine,No,,,,,,,High installation cost;Uncertainty about performance,"Yes, within the next year",Lower product prices;More awareness campaigns,
2025/09/11 12:13:35 PM GMT+5:30,,36-50,Female,Gampaha,Teacher,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM),Refrigerator;Water Heater;Wachine Machine,No,,,,,,,High installation cost;Lack of knowledge;Not a priority,"Yes, within the next year",Government subsidies;Lower product prices,
2025/09/11 12:14:53 PM GMT+5:30,,26-35,Male,Colombo,Work in highway ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Wachine Machine;Desktop Computers,No,,,,,,,High installation cost;Lack of knowledge,"Yes, within the next year",Lower product prices;More awareness campaigns,
2025/09/11 12:16:01 PM GMT+5:30,,36-50,Male,Gampaha,Police officer ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM),Air Condittioner;Refrigerator;Water Heater,No,,,,,,,Not a priority,"Yes, within the next year",Lower product prices,
2025/09/11 12:18:12 PM GMT+5:30,,26-35,Female,Gampaha,Home,Prefer not to say,Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Water Heater;Wachine Machine;Microwave / Oven,No,,,,,,,Lack of knowledge;Uncertainty about performance,"Yes, within the next year",Government subsidies;Lower product prices,
2025/09/11 12:19:35 PM GMT+5:30,,26-35,Male,Colombo,Doctor,"250,000-350,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater,No,,,,,,,Lack of knowledge,"Yes, within the next year",Lower product prices,
2025/09/11 12:36:24 PM GMT+5:30,,36-50,Female,Colombo,Teacher,Prefer not to say,Household,"5,001 - 10,000",91 -120,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;TVs,No,,,,,,,High installation cost,Maybe in 2–3 years,Government subsidies;Lower product prices,
2025/09/11 12:51:03 PM GMT+5:30,,51+,Male,Colombo,Engineer,"250,000-350,000",Household,"5,001 - 10,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers;,No,,,,,,,High installation cost;No space for solar panels,"Yes, within the next year",Government subsidies;More awareness campaigns;Better guarantees/warranties;Recommendations from others,
2025/09/11 12:56:23 PM GMT+5:30,,51+,Female,Gampaha,Nurse,"150,000-250,000",Household,"2,001 - 5,000",61 - 90,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine,No,,,,,,,High installation cost;Lack of knowledge,No plans currently,Government subsidies;Lower product prices;Recommendations from others,
2025/09/11 12:59:04 PM GMT+5:30,,26-35,Male,Gampaha,Businessman,"More than 350,000",Both,"5,001 - 10,000",121 - 180,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,No space for solar panels,No plans currently,Lower product prices;Better guarantees/warranties;Recommendations from others,
2025/09/11 4:18:52 PM GMT+5:30,,36-50,Male,Colombo,Software Engineer,Prefer not to say,Household,"2,001 - 5,000",91 -120,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;Desktop Computers,No,,,,,,,High installation cost,Maybe in 2–3 years,Government subsidies;Better guarantees/warranties,
2025/09/11 4:26:27 PM GMT+5:30,,26-35,Male,Colombo,Driver,"Less than 150,000",Household,"2,001 - 5,000",30 - 60,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost;Lack of knowledge,No plans currently,Government subsidies;Lower product prices,
2025/09/16 7:44:59 PM GMT+5:30,,18-25,Male,Colombo,Software engineer ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Air Condittioner;Water Heater;TVs,No,,,,,,,High installation cost;Uncertainty about performance;No space for solar panels,Maybe in 2–3 years,Government subsidies;Lower product prices,
2025/09/16 7:46:05 PM GMT+5:30,,26-35,Male,Gampaha,Navy,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Water Heater;Desktop Computers;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,Government subsidies;Recommendations from others,
2025/09/16 7:47:04 PM GMT+5:30,,18-25,Male,Gampaha,Teacher,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM),Air Condittioner;Refrigerator;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,More awareness campaigns,
